"","Attentional_load","Subjectnumber","Pupilsize_leftright_averaged"
"22","1","701",19.2040993505544
"23","1","702",9.03715217586956
"24","1","704",0.497811851954088
"25","1","706",-1.81891797397931
"26","1","708",2.00253973611147
"27","1","709",-0.575572672282156
"28","1","710",-1.57940529222515
"29","1","712",2.73224213305918
"30","1","714",0.618828453814259
"31","1","716",1.02592987278248
"32","1","717",-3.3803958236386
"33","1","718",3.53550690151869
"34","1","719",2.46014100031066
"35","1","720",5.07725788296175
"36","1","722",1.64858837878579
"37","1","723",0.488481210939205
"38","1","725",-1.5347310496806
"39","1","726",10.4641725759146
"40","1","727",-1.38667550784667
"41","1","729",5.63708407437309
"42","1","730",-0.980501191893931
"43","2","701",18.5661437188177
"44","2","702",9.22847856789306
"45","2","704",1.01837681180474
"46","2","706",0.844047829376992
"47","2","708",5.31744579261517
"48","2","709",1.14754734547315
"49","2","710",-0.248935157082284
"50","2","712",2.8161190915761
"51","2","714",1.07448053058493
"52","2","716",0.729526789788175
"53","2","717",5.78002933792732
"54","2","718",3.90565362519085
"55","2","719",3.28720346519985
"56","2","720",5.38350461195901
"57","2","722",4.49493956260755
"58","2","723",2.70142084012317
"59","2","725",0.0429071990650544
"60","2","726",20.2336653212351
"61","2","727",-0.576223825496851
"62","2","729",12.5272171998531
"63","2","730",-0.389833700027615
"64","3","701",8.00440504778131
"65","3","702",8.91560524785482
"66","3","704",1.00985302182339
"67","3","706",4.04342834329239
"68","3","708",2.05332901823375
"69","3","709",1.580972258078
"70","3","710",0.327879756739863
"71","3","712",3.60112676653605
"72","3","714",2.98031691947265
"73","3","716",1.22036165101991
"74","3","717",4.88974115905519
"75","3","718",4.61015832782112
"76","3","719",2.89088605763673
"77","3","720",8.38631173719587
"78","3","722",4.60167316442938
"79","3","723",2.39878532278511
"80","3","725",5.19483289908861
"81","3","726",24.4261353827648
"82","3","727",0.585272683108763
"83","3","729",11.6487694757099
"84","3","730",0.393079916888499
"85","4","701",23.6412933805467
"86","4","702",9.56666998996108
"87","4","704",8.86913267286034
"88","4","706",4.94977777135767
"89","4","708",4.89065884383822
"90","4","709",3.53466913284526
"91","4","710",1.46267629562538
"92","4","712",3.94358883075743
"93","4","714",1.51396067171484
"94","4","716",1.46821028738646
"95","4","717",1.22651612988046
"96","4","718",-0.152566025280098
"97","4","719",1.57918548148644
"98","4","720",5.61564280350827
"99","4","722",1.9667919867393
"100","4","723",4.3840087646763
"101","4","725",4.85707429900046
"102","4","726",27.0304968117332
"103","4","727",1.03853141258723
"104","4","729",12.7843997736363
"105","4","730",0.296616591518954
"106","5","701",17.513123991595
"107","5","702",11.3047424920583
"108","5","704",6.11603540260109
"109","5","706",5.65251403461881
"110","5","708",5.91629654146856
"111","5","709",3.14339828149806
"112","5","710",0.424516012321583
"113","5","712",3.71313430846447
"114","5","714",1.62121808686872
"115","5","716",1.19641633020155
"116","5","717",8.90284005213982
"117","5","718",-0.167400406950711
"118","5","719",1.90889180577444
"119","5","720",6.33685721004577
"120","5","722",2.56928408082883
"121","5","723",3.36300612393024
"122","5","725",5.26506290492612
"123","5","726",29.5269634780631
"124","5","727",-0.738892030880803
"125","5","729",12.4237451186726
"126","5","730",0.990296760363698
