trial,load,p_size
1,2,1021.4085659287776
2,1,951.4348795718109
3,5,1063.9569471624266
4,4,913.4870766488414
5,0,602.6868495742668
6,3,826.2198929527208
7,0,463.80212355212353
8,4,757.5520926090828
9,2,732.9429400386847
10,3,590.6491071428571
11,5,878.7382012466608
12,1,851.1800785083415
13,4,772.2361853832442
14,3,829.3485849056603
15,0,455.47903657448705
16,1,587.8026948989412
17,2,713.0503116651826
18,5,708.4416586306654
19,1,707.6642300194932
20,5,787.3698752228164
21,2,566.9307620817843
22,3,722.1417112299465
23,0,540.0611577964519
24,4,666.924688057041
25,2,698.2347417840375
26,1,652.6697944593387
27,3,575.6082887700535
28,0,626.4327094474153
29,5,572.8626226583408
30,4,726.1621240601504
31,5,751.8257575757576
32,1,727.1855486173059
33,2,624.94375
34,3,682.8066479400749
35,4,687.1353517364203
36,0,635.536128456735
37,3,613.6062992125984
38,4,654.6274509803922
39,1,556.5069101678183
40,2,645.2146037399822
41,0,600.5240793201133
